model,brier_score,brier_skill_score,log_loss
Consensus (norm),0.21011854938674257,0.15652470228634152,0.6051778568721373
Caesars (norm),0.21015624277221398,0.15637339037397047,0.6057733121133482
Betmgm (norm),0.21028237428396188,0.15586706280444784,0.6056924863993272
Si (norm),0.21031178779125226,0.15574898866539166,0.6060840252097393
Draftkings (norm),0.21075575670070082,0.15396677186841834,0.6046882869087479
Betway (norm),0.21082556969490923,0.15368652276025485,0.6071352624027563
Caesars (shin),0.21141740149732907,0.15131074248193366,0.6094013547181456
Fanduel (norm),0.211468183305284,0.15110688993912758,0.6063791390661942
Betmgm (shin),0.21178500557642188,0.14983507571686927,0.6098148790700502
Consensus (shin),0.21202015728850593,0.1488911102224526,0.610182841869381
Betway (shin),0.213066383897727,0.1446912606458003,0.612823073333334
Si (shin),0.2130858379876031,0.14461316642566657,0.6128112061805595
Draftkings (shin),0.2133958235619723,0.1433687966382723,0.6112201876174176
Fanduel (shin),0.21362438157983513,0.14245130009775087,0.6121458834566101
Bet365 (norm),0.21410441516067605,0.14052430950746708,0.6190400292806586
Bet365 (shin),0.21867670124264224,0.12216985971959993,0.630862849592119
ESPN,0.22434025614035089,0.09943474819610554,0.6387645183572443
