week_num,week_label,n_games,bs_espn,bs_consensus_norm,bs_consensus_shin
0,1,16,0.19506237499999998,0.1873871370416178,0.19414056893013404
1,2,16,0.20073675,0.18210920178890605,0.19924633427712757
2,3,16,0.21094618750000002,0.2114576951084374,0.20924673282468315
3,4,16,0.221613125,0.18708072104863363,0.19383025403373108
4,5,14,0.2925032857142857,0.32680749891901356,0.3068993970962309
5,6,15,0.22325526666666665,0.20670025093640645,0.2117678158970387
6,7,15,0.19633286666666666,0.17435586818573617,0.19008983159382348
7,8,13,0.18046830769230768,0.1624781473663693,0.15983588225792575
8,9,14,0.2762497142857143,0.2611786730618982,0.25851650106962065
9,10,14,0.2243807857142857,0.20569448062703666,0.21451004153665593
10,11,15,0.19767666666666664,0.18199596400677162,0.17769140679238912
11,12,14,0.1868618571428571,0.15907885314870782,0.17415332684933313
12,13,16,0.2517548125,0.2506125886469297,0.2551432278117426
13,14,14,0.25398492857142857,0.24314384546994838,0.22104011335622745
14,15,16,0.20302631250000003,0.19567372096570462,0.19243403877357498
15,16,16,0.24984131250000002,0.2292931927375952,0.2174587285625903
16,17,16,0.265321375,0.23923744790611592,0.2579709955985545
17,18,16,0.2230803125,0.2023338163526558,0.20939379889897336
18,WC,6,0.22642816666666665,0.23754127022689983,0.23726328943010663
19,DIV,4,0.2017485,0.14268317961445265,0.14694610496412674
20,CC,2,0.19425050000000002,0.15809263175564256,0.12394988814511132
