away_team,away_covers,away_games,away_rate,home_covers,home_games,home_rate,home_away_diff
Cleveland Browns,2,8,0.25,7,9,0.7777777777777778,0.5277777777777778
Denver Broncos,3,8,0.375,8,11,0.7272727272727273,0.3522727272727273
Los Angeles Rams,5,12,0.4166666666666667,6,8,0.75,0.3333333333333333
Kansas City Chiefs,1,8,0.125,4,9,0.4444444444444444,0.3194444444444444
Chicago Bears,5,9,0.5555555555555556,8,10,0.8,0.24444444444444446
Pittsburgh Steelers,3,8,0.375,6,10,0.6,0.22499999999999998
Carolina Panthers,4,9,0.4444444444444444,6,9,0.6666666666666666,0.2222222222222222
Los Angeles Chargers,4,9,0.4444444444444444,6,9,0.6666666666666666,0.2222222222222222
Tennessee Titans,2,8,0.25,4,9,0.4444444444444444,0.19444444444444442
Miami Dolphins,2,8,0.25,4,9,0.4444444444444444,0.19444444444444442
Green Bay Packers,2,10,0.2,3,8,0.375,0.175
Las Vegas Raiders,3,8,0.375,4,9,0.4444444444444444,0.06944444444444442
New York Jets,3,8,0.375,4,9,0.4444444444444444,0.06944444444444442
Houston Texans,5,10,0.5,5,9,0.5555555555555556,0.05555555555555558
Minnesota Vikings,4,9,0.4444444444444444,4,8,0.5,0.05555555555555558
Dallas Cowboys,4,9,0.4444444444444444,4,8,0.5,0.05555555555555558
New York Giants,3,9,0.3333333333333333,3,8,0.375,0.041666666666666685
Washington Commanders,3,9,0.3333333333333333,3,8,0.375,0.041666666666666685
San Francisco 49ers,7,11,0.6363636363636364,5,8,0.625,-0.011363636363636354
Jacksonville Jaguars,6,8,0.75,7,10,0.7,-0.050000000000000044
Detroit Lions,5,9,0.5555555555555556,4,8,0.5,-0.05555555555555558
New Orleans Saints,6,9,0.6666666666666666,4,8,0.5,-0.16666666666666663
Buffalo Bills,5,10,0.5,3,9,0.3333333333333333,-0.16666666666666669
Indianapolis Colts,5,8,0.625,4,9,0.4444444444444444,-0.18055555555555558
Arizona Cardinals,4,9,0.4444444444444444,2,8,0.25,-0.19444444444444442
Seattle Seahawks,9,10,0.9,7,10,0.7,-0.20000000000000007
Philadelphia Eagles,6,9,0.6666666666666666,4,9,0.4444444444444444,-0.2222222222222222
Cincinnati Bengals,4,8,0.5,2,9,0.2222222222222222,-0.2777777777777778
Baltimore Ravens,4,8,0.5,2,9,0.2222222222222222,-0.2777777777777778
Atlanta Falcons,6,9,0.6666666666666666,3,8,0.375,-0.29166666666666663
New England Patriots,8,9,0.8888888888888888,7,12,0.5833333333333334,-0.30555555555555547
Tampa Bay Buccaneers,4,9,0.4444444444444444,1,8,0.125,-0.3194444444444444
