team,games,overs,over_rate
Dallas Cowboys,17,11,0.6470588235294118
Tennessee Titans,17,11,0.6470588235294118
New York Jets,17,11,0.6470588235294118
Los Angeles Rams,20,12,0.6
Arizona Cardinals,17,10,0.5882352941176471
New York Giants,17,10,0.5882352941176471
Detroit Lions,17,10,0.5882352941176471
Washington Commanders,17,10,0.5882352941176471
New England Patriots,21,12,0.5714285714285714
Miami Dolphins,16,9,0.5625
Pittsburgh Steelers,18,10,0.5555555555555556
Green Bay Packers,18,10,0.5555555555555556
San Francisco 49ers,18,10,0.5555555555555556
Seattle Seahawks,20,11,0.55
Cincinnati Bengals,17,9,0.5294117647058824
Baltimore Ravens,17,9,0.5294117647058824
Indianapolis Colts,17,9,0.5294117647058824
Jacksonville Jaguars,17,9,0.5294117647058824
Buffalo Bills,19,10,0.5263157894736842
Atlanta Falcons,16,8,0.5
Tampa Bay Buccaneers,17,8,0.47058823529411764
Carolina Panthers,18,8,0.4444444444444444
Denver Broncos,19,8,0.42105263157894735
Minnesota Vikings,17,7,0.4117647058823529
Chicago Bears,18,7,0.3888888888888889
Philadelphia Eagles,18,7,0.3888888888888889
Los Angeles Chargers,18,7,0.3888888888888889
Las Vegas Raiders,16,6,0.375
Houston Texans,19,7,0.3684210526315789
New Orleans Saints,17,5,0.29411764705882354
Cleveland Browns,17,5,0.29411764705882354
Kansas City Chiefs,17,4,0.23529411764705882
